lookup-8, 32, 100000000, 1.029680
lookup-64, 32, 100000000, 1.007184
bit-parallel, 32, 100000000, 1.056718
bit-parallel-optimized, 32, 100000000, 0.812788
harley-seal, 32, 100000000, 0.812841
sse-bit-parallel, 32, 100000000, 2.254423
sse-lookup, 32, 100000000, 0.408776
avx2-lookup, 32, 100000000, 0.433497
cpu, 32, 100000000, 0.219913
lookup-8, 64, 50000000, 0.950884
lookup-64, 64, 50000000, 0.951696
bit-parallel, 64, 50000000, 0.962386
bit-parallel-optimized, 64, 50000000, 0.690959
harley-seal, 64, 50000000, 0.664248
sse-bit-parallel, 64, 50000000, 1.711058
sse-lookup, 64, 50000000, 0.298032
avx2-lookup, 64, 50000000, 0.264197
cpu, 64, 50000000, 0.176251
lookup-8, 128, 25000000, 1.047643
lookup-64, 128, 25000000, 1.032330
bit-parallel, 128, 25000000, 0.921058
bit-parallel-optimized, 128, 25000000, 0.633306
harley-seal, 128, 25000000, 0.433496
sse-bit-parallel, 128, 25000000, 0.924556
sse-lookup, 128, 25000000, 0.183487
avx2-lookup, 128, 25000000, 0.179540
cpu, 128, 25000000, 0.135470
lookup-8, 256, 12500000, 0.956428
lookup-64, 256, 12500000, 0.947435
bit-parallel, 256, 12500000, 0.900636
bit-parallel-optimized, 256, 12500000, 0.604761
harley-seal, 256, 12500000, 0.340363
sse-bit-parallel, 256, 12500000, 0.584252
sse-lookup, 256, 12500000, 0.158830
avx2-lookup, 256, 12500000, 0.117799
cpu, 256, 12500000, 0.121928
lookup-8, 512, 10000000, 1.460930
lookup-64, 512, 10000000, 1.456387
bit-parallel, 512, 10000000, 1.424710
bit-parallel-optimized, 512, 10000000, 0.945336
harley-seal, 512, 10000000, 0.468711
sse-bit-parallel, 512, 10000000, 0.681887
sse-lookup, 512, 10000000, 0.240216
avx2-lookup, 512, 10000000, 0.150342
cpu, 512, 10000000, 0.206996
lookup-8, 1024, 5000000, 1.423911
lookup-64, 1024, 5000000, 1.423786
bit-parallel, 1024, 5000000, 1.397539
bit-parallel-optimized, 1024, 5000000, 0.933202
harley-seal, 1024, 5000000, 0.430773
sse-bit-parallel, 1024, 5000000, 0.586642
sse-lookup, 1024, 5000000, 0.230614
avx2-lookup, 1024, 5000000, 0.137347
cpu, 1024, 5000000, 0.222899
lookup-8, 2048, 2500000, 1.406456
lookup-64, 2048, 2500000, 1.407554
bit-parallel, 2048, 2500000, 1.412454
bit-parallel-optimized, 2048, 2500000, 0.928621
harley-seal, 2048, 2500000, 0.411822
sse-bit-parallel, 2048, 2500000, 0.504315
sse-lookup, 2048, 2500000, 0.227424
avx2-lookup, 2048, 2500000, 0.130176
cpu, 2048, 2500000, 0.201326
lookup-8, 4094, 1250000, 1.396768
lookup-64, 4094, 1250000, 1.399586
bit-parallel, 4094, 1250000, 1.415849
bit-parallel-optimized, 4094, 1250000, 0.951249
harley-seal, 4094, 1250000, 0.417674
sse-bit-parallel, 4094, 1250000, 0.455725
sse-lookup, 4094, 1250000, 0.232095
avx2-lookup, 4094, 1250000, 0.142223
cpu, 4094, 1250000, 0.203373
lookup-8, 32, 100000000, 1.029560
lookup-64, 32, 100000000, 1.007386
bit-parallel, 32, 100000000, 1.056616
bit-parallel-optimized, 32, 100000000, 0.812784
harley-seal, 32, 100000000, 0.812825
sse-bit-parallel, 32, 100000000, 2.255459
sse-lookup, 32, 100000000, 0.408123
avx2-lookup, 32, 100000000, 0.433549
cpu, 32, 100000000, 0.224640
lookup-8, 64, 50000000, 0.949495
lookup-64, 64, 50000000, 0.944021
bit-parallel, 64, 50000000, 0.962394
bit-parallel-optimized, 64, 50000000, 0.690954
harley-seal, 64, 50000000, 0.664251
sse-bit-parallel, 64, 50000000, 1.710681
sse-lookup, 64, 50000000, 0.298029
avx2-lookup, 64, 50000000, 0.264225
cpu, 64, 50000000, 0.188953
lookup-8, 128, 25000000, 1.048104
lookup-64, 128, 25000000, 1.032637
bit-parallel, 128, 25000000, 0.909927
bit-parallel-optimized, 128, 25000000, 0.633296
